id,التاريخ,مدخل: ticker,مدخل: stockName,مدخل: companyType,مدخل: growth5yr,مدخل: growthPerp,مدخل: discountRate,مدخل: currentPe,مدخل: sectorPe,مدخل: dividends,مدخل: bookValue,مدخل: bondYield,مدخل: currentPrice,مدخل: fairPb,مدخل: scenario,مدخل: debtRatio,مدخل: liquidityRatio,مدخل: earningsQuality,مدخل: betaMain,مدخل: perplexityEval,مدخل: notes,مدخل: eps,مدخل: fcf,مدخل: netDebt,مدخل: bvps,مدخل: bankRoe,مدخل: bankCurrentPb,مدخل: bankFairPb,مدخل: bankEps,مدخل: bankCurrentPe,مدخل: bankFairPe,مدخل: bankDps,مدخل: bankPayout,مدخل: cet1,مدخل: npl,مدخل: provCoverage,مدخل: ldr,مدخل: nav,مدخل: totalUnits,مدخل: ffo,مدخل: pffoMultiple,مدخل: capRate,مدخل: totalDebt,مدخل: costOfEquity,مدخل: riskFree,مدخل: marketReturn,مدخل: anchorModel,مدخل: decision,مدخل: execPrice,مدخل: fcfBasis,مدخل: noNetDebt,مدخل: noi,مدخل: noTotalDebt,مدخل: normEps,مدخل: normFcf,نتيجة: fairValueRange,نتيجة: fairValueDetail,نتيجة: fairValueAvg,نتيجة: marginText,نتيجة: models,نتيجة: fairValueArithmeticAvg,نتيجة: fairValueMin,نتيجة: fairValueMax,نتيجة: dispersionCV,نتيجة: modelsInAvg,نتيجة: fairValueUnreliable,نتيجة: anchorModel,نتيجة: marginDual,نتيجة: sustainFail,نتيجة: sustainReasons,نتيجة: sustainWatch,نتيجة: bookFloor
1700000000000,٣١‏/١٢‏/٢٠٢١، ١٢:٠٠:٠٠ ص,1010,الرياض,bank,3,2.5,10.0,,13,1.0,15.78,2.8,,1.39,realistic,588.7,,12.7,,,"تقييم تاريخي رجعي للسنة المالية 2021 — مبني على ملفات تداول الرسمية عبر DATA_1010.md. عدد الأسهم 2,997,701 (مشتق من الربح ÷ الربحية، محصّن ضد وحدات التقريب). حقوق الملكية 47,299,771. نسبة التوزيع 49.6%. ⚠️ السعر السوقي التاريخي غير متاح — هامش الأمان لا يُحتسب لهذا السجل (م.20).",,,,15.78,12.7,,1.39,3.29,,13,1.0,49.6,,,,,,,,,,,10.0,4.0,8.0,,,,fcff,true,,,,,,,,,,,,,,,,,,,,,
1700000001000,٣١‏/١٢‏/٢٠٢٢، ١٢:٠٠:٠٠ ص,1010,الرياض,bank,12,2.5,10.0,,13,1.03,16.39,4.2,,,realistic,625.1,,14.2,,,"تقييم تاريخي رجعي للسنة المالية 2022 — مبني على ملفات تداول الرسمية عبر DATA_1010.md. عدد الأسهم 3,025,570 (مشتق من الربح ÷ الربحية، محصّن ضد وحدات التقريب). حقوق الملكية 49,602,224. نسبة التوزيع 44.3%. ⚠️ السعر السوقي التاريخي غير متاح — هامش الأمان لا يُحتسب لهذا السجل (م.20).",,,,16.39,14.2,,,3.29,,13,1.03,44.3,,,,,,,,,,,10.0,4.0,8.0,,,,fcff,true,,,,,,,,,,,,,,,,,,,,,
1700000002000,٣١‏/١٢‏/٢٠٢٣، ١٢:٠٠:٠٠ ص,1010,الرياض,bank,11.2,2.5,10.0,,13,1.24,17.22,4.6,,,realistic,620.4,,15.0,,,"تقييم تاريخي رجعي للسنة المالية 2023 — مبني على ملفات تداول الرسمية عبر DATA_1010.md. عدد الأسهم 3,118,544 (مشتق من الربح ÷ الربحية، محصّن ضد وحدات التقريب). حقوق الملكية 53,695,571. نسبة التوزيع 48.2%. ⚠️ السعر السوقي التاريخي غير متاح — هامش الأمان لا يُحتسب لهذا السجل (م.20).",,,,17.22,15.0,,,3.29,,13,1.24,48.2,,,,,,,,,,,10.0,4.0,8.0,,,,fcff,true,,,,,,,,,,,,,,,,,,,,,
1700000003000,٣١‏/١٢‏/٢٠٢٤، ١٢:٠٠:٠٠ ص,1010,الرياض,bank,12,2.5,10.0,,13,1.49,18.91,4.9,,,realistic,669.1,,15.9,,,"تقييم تاريخي رجعي للسنة المالية 2024 — مبني على ملفات تداول الرسمية عبر DATA_1010.md. عدد الأسهم 3,096,975 (مشتق من الربح ÷ الربحية، محصّن ضد وحدات التقريب). حقوق الملكية 58,555,999. نسبة التوزيع 49.6%. ⚠️ السعر السوقي التاريخي غير متاح — هامش الأمان لا يُحتسب لهذا السجل (م.20).",,,,18.91,15.9,,,3.29,,13,1.49,49.6,,,,,,,,,,,10.0,4.0,8.0,,,,fcff,true,,,,,,,,,,,,,,,,,,,,,
1700000004000,٣١‏/١٢‏/٢٠٢٥، ١٢:٠٠:٠٠ ص,1010,الرياض,bank,9.3,2.5,10.0,,13,1.65,23.85,4.7,,5.0,realistic,588.2,,13.8,,,"تقييم تاريخي رجعي للسنة المالية 2025 — مبني على ملفات تداول الرسمية عبر DATA_1010.md. عدد الأسهم 3,164,423 (مشتق من الربح ÷ الربحية، محصّن ضد وحدات التقريب). حقوق الملكية 75,481,457. نسبة التوزيع 50.2%. ⚠️ السعر السوقي التاريخي غير متاح — هامش الأمان لا يُحتسب لهذا السجل (م.20).",,,,23.85,13.8,,5.0,3.29,,13,1.65,50.2,,,,,,,,,,,10.0,4.0,8.0,,,,fcff,true,,,,,,,,,,,,,,,,,,,,,
1700000005000,٣١‏/١٢‏/٢٠٢١، ١٢:٠٠:٠٠ ص,1150,الإنماء,bank,3,2.5,10.0,,13,0.62,14.85,2.8,,0.83,realistic,464.9,,8.8,,,"تقييم تاريخي رجعي للسنة المالية 2021 — مبني على ملفات تداول الرسمية عبر DATA_1150.md. عدد الأسهم 2,068,234 (مشتق من الربح ÷ الربحية، محصّن ضد وحدات التقريب). حقوق الملكية 30,711,027. نسبة التوزيع 47.7%. ⚠️ السعر السوقي التاريخي غير متاح — هامش الأمان لا يُحتسب لهذا السجل (م.20).",,,,14.85,8.8,,0.83,,,13,0.62,47.7,,,,,,,,,,,10.0,4.0,8.0,,,,fcff,true,,,,,,,,,,,,,,,,,,,,,
1700000006000,٣١‏/١٢‏/٢٠٢٢، ١٢:٠٠:٠٠ ص,1150,الإنماء,bank,12,2.5,10.0,,13,0.81,15.32,4.2,,,realistic,528.8,,11.3,,,"تقييم تاريخي رجعي للسنة المالية 2022 — مبني على ملفات تداول الرسمية عبر DATA_1150.md. عدد الأسهم 2,080,428 (مشتق من الربح ÷ الربحية، محصّن ضد وحدات التقريب). حقوق الملكية 31,876,313. نسبة التوزيع 47.0%. ⚠️ السعر السوقي التاريخي غير متاح — هامش الأمان لا يُحتسب لهذا السجل (م.20).",,,,15.32,11.3,,,,,13,0.81,47.0,,,,,,,,,,,10.0,4.0,8.0,,,,fcff,true,,,,,,,,,,,,,,,,,,,,,
1700000007000,٣١‏/١٢‏/٢٠٢٣، ١٢:٠٠:٠٠ ص,1150,الإنماء,bank,12,2.5,10.0,,13,1.29,16.53,4.6,,,realistic,589.5,,14.1,,,"تقييم تاريخي رجعي للسنة المالية 2023 — مبني على ملفات تداول الرسمية عبر DATA_1150.md. عدد الأسهم 2,076,912 (مشتق من الربح ÷ الربحية، محصّن ضد وحدات التقريب). حقوق الملكية 34,333,601. نسبة التوزيع 55.5%. ⚠️ السعر السوقي التاريخي غير متاح — هامش الأمان لا يُحتسب لهذا السجل (م.20).",,,,16.53,14.1,,,,,13,1.29,55.5,,,,,,,,,,,10.0,4.0,8.0,,,,fcff,true,,,,,,,,,,,,,,,,,,,,,
1700000008000,٣١‏/١٢‏/٢٠٢٤، ١٢:٠٠:٠٠ ص,1150,الإنماء,bank,-4.7,2.5,10.0,,13,0.76,15.78,4.9,,1.28,realistic,568.0,,14.1,,,"تقييم تاريخي رجعي للسنة المالية 2024 — مبني على ملفات تداول الرسمية عبر DATA_1150.md. عدد الأسهم 2,626,874 (مشتق من الربح ÷ الربحية، محصّن ضد وحدات التقريب). حقوق الملكية 41,441,775. نسبة التوزيع 34.1%. ⚠️ السعر السوقي التاريخي غير متاح — هامش الأمان لا يُحتسب لهذا السجل (م.20).",,,,15.78,14.1,,1.28,,,13,0.76,34.1,,,,,,,,,,,10.0,4.0,8.0,,,,fcff,true,,,,,,,,,,,,,,,,,,,,,
1700000009000,٣١‏/١٢‏/٢٠٢١، ١٢:٠٠:٠٠ ص,1180,الأهلي,bank,3,2.5,10.0,,13,1.53,38.28,2.8,,0.69,realistic,463.6,,7.8,,,"تقييم تاريخي رجعي للسنة المالية 2021 — مبني على ملفات تداول الرسمية عبر DATA_1180.md. عدد الأسهم 4,236,848 (مشتق من الربح ÷ الربحية، محصّن ضد وحدات التقريب). حقوق الملكية 162,197,942. نسبة التوزيع 51.3%. ⚠️ السعر السوقي التاريخي غير متاح — هامش الأمان لا يُحتسب لهذا السجل (م.20).",,,,38.28,7.8,,0.69,4.04,,13,1.53,51.3,,,,,,,,,,,10.0,4.0,8.0,,,,fcff,true,,,,,,,,,,,,,,,,,,,,,
