id,التاريخ,مدخل: ticker,مدخل: stockName,مدخل: companyType,مدخل: growth5yr,مدخل: growthPerp,مدخل: discountRate,مدخل: currentPe,مدخل: sectorPe,مدخل: dividends,مدخل: bookValue,مدخل: bondYield,مدخل: currentPrice,مدخل: fairPb,مدخل: scenario,مدخل: debtRatio,مدخل: liquidityRatio,مدخل: earningsQuality,مدخل: betaMain,مدخل: perplexityEval,مدخل: notes,مدخل: eps,مدخل: fcf,مدخل: netDebt,مدخل: bvps,مدخل: bankRoe,مدخل: bankCurrentPb,مدخل: bankFairPb,مدخل: bankEps,مدخل: bankCurrentPe,مدخل: bankFairPe,مدخل: bankDps,مدخل: bankPayout,مدخل: cet1,مدخل: npl,مدخل: provCoverage,مدخل: ldr,مدخل: nav,مدخل: totalUnits,مدخل: ffo,مدخل: pffoMultiple,مدخل: capRate,مدخل: totalDebt,مدخل: costOfEquity,مدخل: riskFree,مدخل: marketReturn,مدخل: anchorModel,مدخل: decision,مدخل: execPrice,مدخل: fcfBasis,مدخل: noNetDebt,مدخل: noi,مدخل: noTotalDebt,مدخل: normEps,مدخل: normFcf,نتيجة: fairValueRange,نتيجة: fairValueDetail,نتيجة: fairValueAvg,نتيجة: marginText,نتيجة: models,نتيجة: fairValueArithmeticAvg,نتيجة: fairValueMin,نتيجة: fairValueMax,نتيجة: dispersionCV,نتيجة: modelsInAvg,نتيجة: fairValueUnreliable,نتيجة: anchorModel,نتيجة: marginDual,نتيجة: sustainFail,نتيجة: sustainReasons,نتيجة: sustainWatch,نتيجة: bookFloor
1787401920939,٢٢‏/٨‏/٢٠٢٦، ١:٣٢:٠٠ م,1010,الرياض,bank,5,2.5,8.0,8.26,13,1.05,15.42,4.5,20.49,1.55,realistic,622.7,,16.1,0.4,,,,,,15.42,17.5,1.33,1.55,2.48,8.26,13,1.05,42.3,,1.05 ⚠️,150 ⚠️,83.7,,,,,,,9.5,4.0,9.5,,hold,,fcff,true,,,,,‏١٥٫٣٧ ر.س.‏ — ‏٣٤٫٥٨ ر.س.‏,⚠️ التشتّت 32% — النماذج لا تتفق، لا تبنِ قراراً على رقم واحد | اختر نموذج مرساة أدناه ليُحسب عليه الهامش | (المتوسط الحسابي ‏٢٤٫٦٢ ر.س.‏ معروض للعلم فقط) | DDM مخصوم بـ Ke = 9.50%,24.618666666666666,,"[{""name"":""P/B Fair Value"",""value"":""‏٢٣٫٩٠ ر.س.‏"",""raw"":23.901,""inAvg"":true},{""name"":""P/E Fair Value"",""value"":""‏٣٤٫٥٨ ر.س.‏"",""raw"":34.58,""inAvg"":true},{""name"":""DDM"",""value"":""‏١٥٫٣٧ ر.س.‏"",""raw"":15.374999999999998,""inAvg"":true}]",24.618666666666666,15.374999999999998,34.58,31.91405183827903,3,true,,"متحفّظ (أدنى نموذج ‏١٥٫٣٧ ر.س.‏): <span style=""color:var(--st-bad)"">-33.3%</span>",false,[],[],
1782670504151,٢٨‏/٦‏/٢٠٢٦، ١٠:١٩:٢٤ م (معدَّل),1010,الرياض,bank,5,2.5,8.0,8.15,12,1.05,15.42,4.88,20.22,1.5,realistic,622.7,1.2,14,0.9,"🟢
تجميع وشراء إضافي: من 19.0 إلى 21.0 ر.س 
✂️
تريم وتخفيف: من 24.0 إلى 30.0 ر.س 

🚨
متضخم مالياً ويجب تصفيته: فوق 32 ر.س",,,,,15.42,14,1.31,1.5,2.48,8.15,13,1.05,42.3,17,0.79,165,83,,,,,,,9.5,,,,,,,true,,,,,‏٢٠٫٢٧ ر.س.‏ — ‏٣٢٫١٦ ر.س.‏,المتوسط: ‏٢٦٫٢١ ر.س.‏,26.2132,✅ 22.9% هامش أمان,"[{""name"":""P/B Fair Value"",""value"":""‏٣٢٫١٦ ر.س.‏""},{""name"":""P/E Fair Value"",""value"":""‏٢٠٫٢٧ ر.س.‏""}]",,,,,,,,,,,,
1787399728506,٢٢‏/٨‏/٢٠٢٦، ١٢:٥٥:٢٨ م,1150,الإنماء,bank,6,2.5,8.0,12.68,13,1,12.58,4.5,24.86,1.9,realistic,556.9,,17.3,0.40,,,,,,12.58,17.3,1.98,1.90,1.96,12.68,13.0,1,51,13,0.96,102,99.5,,,,,,,10,4,9.5,,hold,,fcff,true,,,,,‏١٣٫٦٧ ر.س.‏ — ‏٢٥٫٤٨ ر.س.‏,المتوسط: ‏٢١٫٠٢ ر.س.‏ | تشتّت النماذج 25% (دون عتبة 30% — النماذج متوافقة) | DDM مخصوم بـ Ke = 10.00%,21.016222222222222,⚠️ 18.3% مبالغ فيه,"[{""name"":""P/B Fair Value"",""value"":""‏٢٣٫٩٠ ر.س.‏"",""raw"":23.901999999999997,""inAvg"":true},{""name"":""P/E Fair Value"",""value"":""‏٢٥٫٤٨ ر.س.‏"",""raw"":25.48,""inAvg"":true},{""name"":""DDM"",""value"":""‏١٣٫٦٧ ر.س.‏"",""raw"":13.666666666666664,""inAvg"":true}]",21.016222222222222,13.666666666666664,25.48,24.917404907444723,3,false,,"متحفّظ (أدنى نموذج ‏١٣٫٦٧ ر.س.‏): <span style=""color:var(--st-bad)"">-81.9%</span>  ·  المتوسط (‏٢١٫٠٢ ر.س.‏): <span style=""color:var(--st-bad)"">-18.3%</span>",false,[],[],
1782656088942,٢٨‏/٦‏/٢٠٢٦، ١٠:٢٣:٢٨ م (معدَّل),1150,الإنماء,bank,6,3,10,12.67,11.5,1.00,12.58,4.5,24.83,1.6,realistic,556.9,2.5,17.3,0.85,"| الطريقة                    | القيمة العادلة                 | الوزن |
| -------------------------- | ------------------------------ | ----- |
| P/B × BVPS (1.60 × 19.36)  | 30.98 ر.س                      | 40%   |
| P/E × EPS (11.5 × 1.93)    | 22.20 ر.س                      | 40%   |
| Gordon Growth (DPS / Ke−g) | 16.78 ر.س                      | 20%   |
| القيمة العادلة الموزونة    | 24.63 ر.س                      | 100%  |
| سيناريو متفائل (+10%)      | 27.09 ر.س                      | —     |
| سيناريو محتاط (−10%)       | 22.17 ر.س                      | —     |
| هامش الأمان الحالي         | −0.8% (مُقيَّم بعدالة تقريباً) | —     |",,,,,12.58,17.3,1.97,1.60,1.96,12.67,13,1.00,51,13,0.96,102,99.5,,,,,,,,,,,,,,true,,,,,‏٢٥٫٨٣ ر.س.‏ — ‏٣٠٫٩٨ ر.س.‏,المتوسط: ‏٢٨٫٤٠ ر.س.‏,28.4045,✅ 12.6% هامش أمان,"[{""name"":""P/B Fair Value"",""value"":""‏٣٠٫٩٨ ر.س.‏""},{""name"":""P/E Fair Value"",""value"":""‏٢٥٫٨٣ ر.س.‏""}]",,,,,,,,,,,,
1787403750134,٢٢‏/٨‏/٢٠٢٦، ٢:٠٢:٣٠ م,2010,سابك,cyclical,2,2,10,,14,2.20,41.18,4.5,49.50,1,realistic,64.9,2.43,1.2,0.4,,,0.50,0.35,0.91,,,,,,,,,,,,,,,,,,,,,4.0,8.0,,,,fcff,false,,,2.90,2.20,‏٢٧٫١٤ ر.س.‏ — ‏٤٠٫٦٠ ر.س.‏,المتوسط: ‏٣٢٫٨١ ر.س.‏ | تشتّت النماذج 17% (دون عتبة 30% — النماذج متوافقة) | السيناريو: واقعي | أساس التدفق: FCFF مخصوم بـ WACC 10.00% — الدين الصافي ‏٠٫٩١ ر.س.‏ مطروح | 📐 EPS مُطبَّع 2.9 بدل اللحظي 0.5 (جراهام و P/E) | 📐 FCF مُطبَّع 2.2 بدل اللحظي 0.35 (DCF),32.80861111111111,⚠️ 50.9% مبالغ فيه,"[{""name"":""DCF"",""value"":""‏٢٧٫١٤ ر.س.‏"",""raw"":27.139999999999986,""inAvg"":true},{""name"":""جراهام"",""value"":""‏٣٥٫٤٤ ر.س.‏"",""raw"":35.44444444444444,""inAvg"":true},{""name"":""مكرر الربحية P/E"",""value"":""‏٤٠٫٦٠ ر.س.‏"",""raw"":40.6,""inAvg"":true},{""name"":""جوردون"",""value"":""‏٢٨٫٠٥ ر.س.‏"",""raw"":28.05,""inAvg"":true},{""name"":""القيمة الدفترية"",""value"":""‏٤١٫١٠ ر.س.‏"",""raw"":41.1,""inAvg"":false}]",32.80861111111111,27.139999999999986,40.6,16.862721272665553,4,false,,"متحفّظ (أدنى نموذج ‏٢٧٫١٤ ر.س.‏): <span style=""color:var(--st-bad)"">-82.4%</span>  ·  المتوسط (‏٣٢٫٨١ ر.س.‏): <span style=""color:var(--st-bad)"">-50.9%</span>",false,[],[],41.1
1782657831987,٢٨‏/٦‏/٢٠٢٦، ١٠:٠٩:٣١ م (معدَّل),2010,سابك,cyclical,4,2,9.5,,14,3.00,41.18,4.8,54.34,1.20,conservative,64.9,2.5,1.2,0.62,"تجميع وشراء إضافي: 57 ريال فأقل.
تريم وتخفيف: من 63 إلى 66 ريال.
متضخم مالياً ويجب تصفيته: فوق 66 ريال.",,-0.27,2.39,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,2.90,2.20,‏٢٫٠٦ ر.س.‏ — ‏٤٩٫٥٧ ر.س.‏,المتوسط: ‏٢٢٫٦٢ ر.س.‏ | السيناريو: محتاط,22.617062056490163,⚠️ 140.3% مبالغ فيه,"[{""name"":""DCF"",""value"":""‏٢٧٫٣٥ ر.س.‏""},{""name"":""جراهام"",""value"":""‏٢٫٠٦ ر.س.‏""},{""name"":""مكرر الربحية P/E"",""value"":""‏٢٫٥٢ ر.س.‏""},{""name"":""جوردون"",""value"":""‏٣١٫٥٨ ر.س.‏""},{""name"":""القيمة الدفترية"",""value"":""‏٤٩٫٥٧ ر.س.‏""}]",,,,,,,,,,,,
1787398487568,٢٢‏/٨‏/٢٠٢٦، ١٢:٣٤:٤٧ م,2222,أرامكو السعودية,normal,3,2.5,8.5,13.2,14,1.36,6.49,4.5,26.40,3.5,realistic,49.2,2,30.8,0.40,,,2,1,0.52,,,,,,,,,,,,,,,,,,,,,4.0,8.0,,hold,,fcff,false,,,,,‏١٦٫٩٤ ر.س.‏ — ‏٢٨٫٣٦ ر.س.‏,المتوسط: ‏٢٤٫١٣ ر.س.‏ | تشتّت النماذج 19% (دون عتبة 30% — النماذج متوافقة) | السيناريو: واقعي | أساس التدفق: FCFF مخصوم بـ WACC 8.50% — الدين الصافي ‏٠٫٥٢ ر.س.‏ مطروح,24.13218344933078,⚠️ 9.4% مبالغ فيه,"[{""name"":""DCF"",""value"":""‏١٦٫٩٤ ر.س.‏"",""raw"":16.939844908434214,""inAvg"":true},{""name"":""جراهام"",""value"":""‏٢٨٫٣٦ ر.س.‏"",""raw"":28.355555555555558,""inAvg"":true},{""name"":""مكرر الربحية P/E"",""value"":""‏٢٨٫٠٠ ر.س.‏"",""raw"":28,""inAvg"":true},{""name"":""جوردون"",""value"":""‏٢٣٫٢٣ ر.س.‏"",""raw"":23.23333333333333,""inAvg"":true},{""name"":""القيمة الدفترية"",""value"":""‏٢٢٫٧٢ ر.س.‏"",""raw"":22.715,""inAvg"":false}]",24.13218344933078,16.939844908434214,28.355555555555558,19.13973045394728,4,false,,"متحفّظ (أدنى نموذج ‏١٦٫٩٤ ر.س.‏): <span style=""color:var(--st-bad)"">-55.8%</span>  ·  المتوسط (‏٢٤٫١٣ ر.س.‏): <span style=""color:var(--st-bad)"">-9.4%</span>",false,[],"[""التوزيع 1.36 يتجاوز FCF 1 — التوزيع مغطّى بالأرباح لا بالنقد""]",22.715
1782659535674,٦‏/٧‏/٢٠٢٦، ٢:٣٣:٣٣ م (معدَّل),2222,أرامكو السعودية,normal,3,2.5,8,13.3,14,1.34,6.49,4.5,26.60,3.5,realistic,49.2,2.00,30.8,0.40,"🟢
تجميع وشراء إضافي: من 24.00 إلى 25.50 ر.س 

✂️
تريم وتخفيف: من 30.00 إلى 32.00 ر.س 

🚨
متضخم مالياً ويجب تصفيته: فوق 35.0 ر.س",,2.00,1.00,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‏١٨٫١٢ ر.س.‏ — ‏٣٢٫٣٣ ر.س.‏,المتوسط: ‏٢٣٫٩٢ ر.س.‏ | السيناريو: واقعي,23.918319471025924,⚠️ 11.2% مبالغ فيه,"[{""name"":""DCF"",""value"":""‏٣٢٫٣٣ ر.س.‏"",""raw"":32.33452582010726},{""name"":""جراهام"",""value"":""‏٢٢٫٤٦ ر.س.‏"",""raw"":22.464344262295082},{""name"":""مكرر الربحية P/E"",""value"":""‏١٨٫١٢ ر.س.‏"",""raw"":18.12},{""name"":""جوردون"",""value"":""‏٢٤٫٩٧ ر.س.‏"",""raw"":24.972727272727273},{""name"":""القيمة الدفترية"",""value"":""‏٢١٫٧٠ ر.س.‏"",""raw"":21.7}]",,,,,,,,,,,,
1787400445190,٢٢‏/٨‏/٢٠٢٦، ١:٠٧:٢٥ م,2270,سدافكو,normal,0,2,8.5,18.6,16,16,51.74,4.5,198.60,3.2,realistic,60,1.92,20.6,0.40,,,10.66,12.65,-16.43,,,,,,,,,,,,,,,,,,,,,4.0,8.0,,hold,,fcff,false,,,,,‏٨٨٫٦٠ ر.س.‏ — ‏٢٥١٫٠٨ ر.س.‏,⚠️ التشتّت 33% — النماذج لا تتفق، لا تبنِ قراراً على رقم واحد | اختر نموذج مرساة أدناه ليُحسب عليه الهامش | (المتوسط الحسابي ‏١٧٧٫١٣ ر.س.‏ معروض للعلم فقط) | السيناريو: واقعي | أساس التدفق: FCFF مخصوم بـ WACC 8.50% — الدين الصافي ؜-‏١٦٫٤٣ ر.س.‏ مطروح  |  ⛔ فشل بوابة الاستدامة (الفلتر 1) — القيمة معروضة للعلم فقط ولا يُبنى عليها قرار شراء,177.1322805192465,⛔ خروج — فشل بوابة الاستدامة (الفلتر 1),"[{""name"":""DCF"",""value"":""‏١٩٨٫٣٠ ر.س.‏"",""raw"":198.29575455561857,""inAvg"":true},{""name"":""جراهام"",""value"":""‏٨٨٫٦٠ ر.س.‏"",""raw"":88.59644444444444,""inAvg"":true},{""name"":""مكرر الربحية P/E"",""value"":""‏١٧٠٫٥٦ ر.س.‏"",""raw"":170.56,""inAvg"":true},{""name"":""جوردون"",""value"":""‏٢٥١٫٠٨ ر.س.‏"",""raw"":251.07692307692307,""inAvg"":true},{""name"":""القيمة الدفترية"",""value"":""‏١٦٥٫٥٧ ر.س.‏"",""raw"":165.568,""inAvg"":false}]",177.1322805192465,88.59644444444444,251.07692307692307,33.15678130211081,4,true,,,true,"[""التوزيع 16 يتجاوز EPS 10.66 — نسبة توزيع فوق 100% من الأرباح (§3)""]","[""التوزيع 16 يتجاوز FCF 12.65 — التوزيع مغطّى بالأرباح لا بالنقد""]",165.568
1782659975587,٢٨‏/٦‏/٢٠٢٦، ١٠:٢١:٣٨ م (معدَّل),2270,سدافكو,normal,0,2.5,8.0,15.7,16,16,51.74,4.88,218.50,3.2,realistic,60.0,1.92,20.6,0.40,"🟢
تجميع وشراء إضافي: من 200 إلى 210 ر.س 
✂️
تريم وتخفيف: من 240 إلى 280 ر.س 

🚨
متضخم مالياً ويجب تصفيته: فوق 305 ر.س",,10.66,12.65,-16.43,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,‏١٩٥٫٢٠ ر.س.‏ — ‏٣٣٩٫٥٥ ر.س.‏,المتوسط: ‏٢٨٩٫٢٠ ر.س.‏ | السيناريو: واقعي,289.19850372578236,✅ 24.4% هامش أمان,"[{""name"":""DCF"",""value"":""‏٣٣٩٫٥٥ ر.س.‏""},{""name"":""جراهام"",""value"":""‏٣٢٩٫٥٩ ر.س.‏""},{""name"":""مكرر الربحية P/E"",""value"":""‏٢٨٣٫٤٨ ر.س.‏""},{""name"":""جوردون"",""value"":""‏٢٩٨٫١٨ ر.س.‏""},{""name"":""القيمة الدفترية"",""value"":""‏١٩٥٫٢٠ ر.س.‏""}]",,,,,,,,,,,,
